step,entity,fallacy,label,category,subcategory,tuning,gpt_4o_mini_classification_response
"Since I need to take bopindolol for my heart condition or I need to exercise regularly, and I am taking bopindolol for my heart condition, therefore, I do not need to exercise regularly.",bopindolol,Affirming a Disjunct,1,formal,propositional,test,Affirming a Disjunct
"Since the pandit is performing a ceremony or the pandit is giving a lecture, and the pandit is performing a ceremony, therefore, the pandit is not giving a lecture.",pandit,Affirming a Disjunct,1,formal,propositional,test,Affirming a Disjunct
"Since I'm carrying a shambok or I'm going on a safari, and I'm carrying a shambok, therefore, I'm not going on a safari.",shambok,Affirming a Disjunct,1,formal,propositional,test,Affirming a Disjunct
"Since I am either eating capulins or I am allergic to them and I am eating capulins, therefore, I cannot be allergic to them.",capulins,Affirming a Disjunct,1,formal,propositional,test,Affirming a Disjunct
"Since sculpsits are artist signatures on their works, sculpsits are found on all notable artwork, sculpsits are indicative of an artist's pride in their work, sculpsits are a traditional practice in the art world, sculpsits can increase the value of a piece of art, sculpsits are an artist's mark of authenticity, sculpsits help in identifying the creator of a piece, and sculpsits can also be a form of self-expression, therefore, sculpsits are the most crucial aspect of any artwork.",sculpsits,gish gallop,1,informal,irrelevance,test,gish gallop
"Since light horsemen were instrumental in many historical battles, they were known for their speed, they were the main force in cavalry, they had excellent horsemanship, they were armed with lances and sabers, they were capable of fighting both as cavalry and as mounted infantry, they had high endurance, they were skilled in reconnaissance and irregular warfare, and their tactical flexibility made them very effective in open warfare, therefore, light horsemen were the superior military unit in all historical periods.",light horsemen,gish gallop,1,informal,irrelevance,test,gish gallop
"Since triplex homes are more affordable than single-family homes, triplex homes are more energy efficient, triplex homes require less land, triplex homes encourage a sense of community, triplex homes are easier to maintain, triplex homes are more popular among millennials, triplex homes are more profitable for investors, triplex homes are less likely to be burglarized, and triplex homes are more diverse in architectural styles, therefore, triplex homes are superior to all other types of housing.",triplex,gish gallop,1,informal,irrelevance,test,gish gallop
"Since aerophane is a rare element, and it's only found in remote locations, and it's been used in multiple industries, and its extraction process is complicated, and it has a unique atomic structure, and its market value is extremely high, and there are controversies around its mining, and its role in technology is indispensable, and there are potential health risks associated with its exposure, and it's a key driver of geopolitical conflicts, therefore, aerophane should be banned from usage.",aerophane,gish gallop,1,informal,irrelevance,test,gish gallop
"Since the ladies lounge is often occupied, the decor is outdated, the ventilation is poor, the furnishings are uncomfortable, the lighting is too dim, the acoustics are poor, the cleanliness leaves much to be desired, the lounge is too small to accommodate a large number of people, the location of the lounge is inconvenient, and the lounge lacks basic amenities, therefore, the ladies lounge is in desperate need of renovation.",ladies lounge,gish gallop,1,informal,irrelevance,test,gish gallop
"Since all analogues are tools for understanding and all metaphors are tools for understanding, therefore, all analogues are metaphors.",analogues,Fallacy of the Undistributed Middle,1,formal,syllogistic,test,Fallacy of Four Terms
"Since all lentinans are polysaccharides and all starches are polysaccharides, therefore, all lentinans are starches.",lentinans,Fallacy of the Undistributed Middle,1,formal,syllogistic,test,Fallacy of the Undistributed Middle
"Since all unsubs are criminals and all thieves are criminals, therefore, all unsubs are thieves.",unsubs,Fallacy of the Undistributed Middle,1,formal,syllogistic,test,Illicit Minor
"Since all change orders are documents and all contracts are documents, therefore, all change orders are contracts.",change orders,Fallacy of the Undistributed Middle,1,formal,syllogistic,test,Fallacy of Four Terms
"Since all Wolters are mammals and all dogs are mammals, therefore, all Wolters are dogs.",wolters,Fallacy of the Undistributed Middle,1,formal,syllogistic,test,Fallacy of the Undistributed Middle
"Since the patrioteers began their campaign and the crime rate in the city has subsequently decreased, therefore, the patrioteers' campaign is responsible for the decrease in crime.",patrioteers,Regression Fallacy,1,informal,insufficiency,test,Questionable Cause
"Since I started drinking lactard milk and my occasional digestive issues have improved, therefore, the lactard milk is the reason for my improved digestion.",lactard,Regression Fallacy,1,informal,insufficiency,test,Regression Fallacy
"Since I applied a new ointment on my wound and the granulation tissue formed afterwards, therefore, the ointment caused the formation of the granulation tissue.",granulation tissue,Regression Fallacy,1,informal,insufficiency,test,Regression Fallacy
"Since I started studying about Mahumetans and my insomnia improved, therefore, studying about Mahumetans cured my insomnia.",mahumetans,Regression Fallacy,1,informal,insufficiency,test,Regression Fallacy
"Since my bike was making a lot of noise and I replaced the standard bearings with magnetic bearings and the noise decreased, therefore, the magnetic bearings quieted the noise.",magnetic bearings,Regression Fallacy,1,informal,insufficiency,test,Regression Fallacy
"Since nitrenoids are defined as highly unstable and dangerous substances and this definition is detrimental to my argument supporting their use in industry, therefore, let's define nitrenoids as extremely efficient and safe substances for industrial applications.",nitrenoids,Definist Fallacy,1,informal,inappropriate presumption,test,Definist Fallacy
"Since native speakerism is defined as the irrational belief that only native speakers can accurately and effectively teach a language and this belief undermines my argument that non-native speakers can be excellent language teachers, therefore, let's redefine native speakerism as the absurd notion that language ability is solely determined by birthplace.",native speakerism,Definist Fallacy,1,informal,inappropriate presumption,test,Definist Fallacy
"Since crown flowers are defined as a harmful invasive species that destroys other plant life and this definition undermines my argument that crown flowers should be planted more widely, therefore, let's define crown flowers as a beautiful and harmless addition to any garden.",crown flowers,Definist Fallacy,1,informal,inappropriate presumption,test,Definist Fallacy
"Since impasto is merely a technique used by amateur artists to overcompensate for lack of skill and this definition undermines my argument for impasto being a legitimate artistic technique, therefore, impasto should be defined as a sophisticated method that only master artists can truly appreciate and execute.",impasto,Definist Fallacy,1,informal,inappropriate presumption,test,Definist Fallacy
"Since menoponid is typically defined as a type of louse that infests birds and this definition is detrimental to my argument that menoponid can be beneficial, therefore, let's define menoponid as a unique creature that enhances the ecological balance of our bird populations.",menoponid,Definist Fallacy,1,informal,inappropriate presumption,test,Definist Fallacy
"Since I used to be a cytologist, but then I realized the field is full of inaccuracies, therefore, cytology is a flawed science.",cytologists,Statement of Conversion,1,informal,irrelevance,test,Righteousness Fallacy
"Since I used to think copper choppers were the best, therefore, copper choppers are actually terrible.",copper choppers,Statement of Conversion,1,informal,irrelevance,test,Statement of Conversion
"Since I used to be a guerrieros fan, therefore, guerrieros is not a good team.",guerrieros,Statement of Conversion,1,informal,irrelevance,test,Statement of Conversion
"Since I used to serve in a marine battalion, but I left, therefore, the marine battalion is not an honorable profession.",marine battalion,Statement of Conversion,1,informal,irrelevance,test,Righteousness Fallacy
"Since I used to perform on stage and loved being stageful, therefore, being stageful is inherently wrong.",stageful,Statement of Conversion,1,informal,irrelevance,test,Statement of Conversion
"Since Neraudia angulata is an endangered plant species, and endangered species need protection, therefore, we must build a greenhouse specifically for Neraudia angulata.",neraudia angulata,Ambiguity Fallacy,1,informal,ambiguity,test,Spin Doctoring
"Since wentlings are known for their adaptability and adaptability is a key characteristic of survival, therefore, wentlings can survive in any condition and environment.",wentlings,Ambiguity Fallacy,1,informal,ambiguity,test,Reification
"Since geocoronium is a fundamental element in our earth's crust and it is unique to our planet, therefore, geocoronium is the reason why life exists only on earth.",geocoronium,Ambiguity Fallacy,1,informal,ambiguity,test,Shoehorning
"Since the Guugu Yimidhirr language has words for cardinal directions instead of relative directions and understanding cardinal direction is important for not getting lost, therefore, people who speak Guugu Yimidhirr never get lost.",guugu yimidhirr,Ambiguity Fallacy,1,informal,ambiguity,test,Ludic Fallacy
"Since the database program can store and manage data and it can perform complex calculations, therefore, the database program can predict future trends accurately.",database program,Ambiguity Fallacy,1,informal,ambiguity,test,Jumping to Conclusions
"Since the university has been criticized for not including enough ancient cultures in their curriculum and they have now decided to offer a singular class on Proto-Greek culture, therefore, the university is committed to promoting and teaching about diverse ancient cultures.",proto greek,Tokenism,1,informal,inappropriate presumption,test,Tokenism
"Since the orchestra has been criticized for lack of diversity in their string section and they have recently added a zithern player of a minority background, therefore, the orchestra has adequately addressed their diversity issue.",zithern,Tokenism,1,informal,inappropriate presumption,test,Tokenism
"Since Khaled's restaurant has been criticized for not having any vegetarian options and Khaled has now included a single vegetarian dish on his menu, therefore, Khaled's restaurant is now vegetarian-friendly.",khaleds,Tokenism,1,informal,inappropriate presumption,test,Tokenism
"Since Persingers has been criticized for its lack of diversity in its workforce and they recently hired a single person of color in a high-level position, therefore, Persingers is a diverse and inclusive organization.",persingers,Tokenism,1,informal,inappropriate presumption,test,Tokenism
"Since the monastery has been criticized for not having enough female representation in leadership roles and they recently ordained Gelongma as a nun to show their commitment to gender equality, therefore, the monastery has adequately addressed their gender imbalance issue.",gelongma,Tokenism,1,informal,inappropriate presumption,test,Tokenism
"if we can put a man on the moon, we can definitely unearth all medicinal benefits of the Chinese mushroom.",chinese mushroom,Appeal to the Moon,1,informal,irrelevance,test,Appeal to the Moon
"if we can put a man on the moon, we can surely master nagauta overnight.",nagauta,Appeal to the Moon,1,informal,irrelevance,test,Appeal to the Moon
"if we can put a man on the moon, we can fully understand and control the amirates.",amirates,Appeal to the Moon,1,informal,irrelevance,test,Appeal to the Moon
"if we can put a man on the moon, we can surely understand and master the workings of kgotlas.",kgotlas,Appeal to the Moon,1,informal,irrelevance,test,Appeal to the Moon
"if we can put a man on the moon, we can certainly master diework.",diework,Appeal to the Moon,1,informal,irrelevance,test,Appeal to the Moon
"Since laelia albida is a rare orchid species and I have a rare orchid species in my garden, therefore, I have a laelia albida in my garden.",laelia albida,Type Token Fallacy,1,informal,ambiguity,test,Weak Analogy
"Since Slush Puppie makes over a hundred different flavors and I've tried a Slush Puppie once, therefore, I've tasted all the flavors that Slush Puppie has to offer.",slush puppie,Type Token Fallacy,1,informal,ambiguity,test,Type Token Fallacy
"Since the virgin caesar cocktail recipe is owned by a famous restaurant and you've made a virgin caesar at home, therefore, you are infringing on the restaurant's ownership rights.",virgin caesar,Type Token Fallacy,1,informal,ambiguity,test,Rights To Ought Fallacy
"Since Cryomoulds are used in hundreds of research labs around the world and I have a cryomould in my lab, therefore, the cryomould in my lab is used in hundreds of research labs around the world.",cryomoulds,Type Token Fallacy,1,informal,ambiguity,test,Fallacy of Every and All
"Since decoherency is a common occurrence in quantum systems and I observed decoherency in my experiment, therefore, my experiment is a quantum system.",decoherency,Type Token Fallacy,1,informal,ambiguity,test,Post Designation
"Since we need to solve the issue of our car's broken towbar urgently and removing the towbar completely is a possible solution, therefore, we must remove the towbar completely.",towbar,Appeal to Desperation,1,informal,insufficiency,test,Appeal to Desperation
"Since we must recruit more zelatrices for our religious order and forcing everyone to become a zelatrix is something, therefore, we must force everyone to become a zelatrix.",zelatrices,Appeal to Desperation,1,informal,insufficiency,test,Hypnotic Bait and Switch
"Since our garden is overrun with weeds and something must be done and planting bastard alkanet is something, therefore, we must plant bastard alkanet in our garden.",bastard alkanet,Appeal to Desperation,1,informal,insufficiency,test,Appeal to Desperation
"Since our society is overwhelmed with pervasive advertising and culture jamming is a way to disrupt this pervasive advertising, therefore, we must engage in culture jamming.",culture jammings,Appeal to Desperation,1,informal,insufficiency,test,Willed Ignorance
"Since we need to address the issue of global warming and planting more crown cacti is a way to combat climate change, therefore, we must plant more crown cacti everywhere.",crown cactus,Appeal to Desperation,1,informal,insufficiency,test,Appeal to Desperation
"Since Pskov is a city with a rich historical background and has every right to maintain its traditional customs and some of these customs might be seen as outdated or discriminatory by outsiders, therefore, Pskov should continue these customs regardless of the potential negative impact on some individuals.",pskov,Rights To Ought Fallacy,1,informal,insufficiency,test,Rights To Ought Fallacy
"Since Pontian people have the right to celebrate their unique culture and traditions and some people have expressed discomfort with these unfamiliar practices, therefore, Pontians should continue with their cultural practices regardless of how it may seem strange or uncomfortable to others.",pontian,Rights To Ought Fallacy,1,informal,insufficiency,test,Rights To Ought Fallacy
"Since immulectin has been proven to boost the immune system of insects and everyone has the right to consume immulectin, therefore, everyone should consume immulectin.",immulectin,Rights To Ought Fallacy,1,informal,insufficiency,test,Rights To Ought Fallacy
"Since people on Aegina have the right to avoid paying taxes due to a loophole in their local legislation and many residents choose to exercise this right, therefore, every person on Aegina should avoid paying taxes.",aegina,Rights To Ought Fallacy,1,informal,insufficiency,test,Rights To Ought Fallacy
"Since onomasts have every right to name things as they see fit and this right is protected under the freedom of expression, therefore, onomasts should name things without considering the cultural significance or potential offense their names might cause.",onomast,Rights To Ought Fallacy,1,informal,insufficiency,test,Rights To Ought Fallacy
"Since the minimi is not causing any discomfort right now and I don't have time to get it checked by a doctor, therefore, the minimi is completely healthy and there's nothing to worry about.",minimi,Jumping to Conclusions,1,informal,insufficiency,test,Regression Fallacy
"Since the bandito didn't take any valuables during his last two visits and no one has seen him in a while, therefore, the bandito has surely left the town for good.",bandito,Jumping to Conclusions,1,informal,insufficiency,test,Jumping to Conclusions
"Since the defendant didn't show any signs of nervousness while testifying and he has a clean record, therefore, he must be innocent.",defendant,Jumping to Conclusions,1,informal,insufficiency,test,Righteousness Fallacy
"Since we're not familiar with the intricacies of sortilegy and no one in our group has raised any concerns about it, therefore, it must be a straightforward and uncomplicated practice.",sortilegy,Jumping to Conclusions,1,informal,insufficiency,test,Willed Ignorance
"Since there are a lot of fagbutts on the ground and nobody mentioned anything about a smoker, therefore, there must be no smoker around here.",fagbutts,Jumping to Conclusions,1,informal,insufficiency,test,Spotlight Fallacy
"Since criophores are being used in ice cream manufacturing and I am furious about this because it's unnatural and disgusting, therefore, using criophores in ice cream manufacturing is undeniably wrong.",criophore,Appeal to Anger,1,informal,irrelevance,test,Appeal to Anger
"Since you're absolutely furious about the high cost of angioplasty and you can't believe that big pharmaceutical companies keep raising the price, therefore, angioplasty is an unnecessary procedure.",angioplasty,Appeal to Anger,1,informal,irrelevance,test,Appeal to Anger
"Since backseaters always tell me how to drive and it makes me furious and I'm incredibly irritated by their unsolicited advice, therefore, backseaters' advice is always wrong.",backseaters,Appeal to Anger,1,informal,irrelevance,test,Appeal to Anger
"Since you feel furious when you see people wearing garters and I argue that garters are a symbol of indecency, therefore, garters are indeed indecent.",garters,Appeal to Anger,1,informal,irrelevance,test,Appeal to Emotion
"Since polyblend materials are causing rashes and skin irritation and this makes many consumers angry and upset, therefore, polyblend is harmful and should be banned.",polyblend,Appeal to Anger,1,informal,irrelevance,test,Appeal to Anger
"Since all chemical compounds have a specific molecular structure and dimethyl disulfane is a chemical compound, therefore, all specific molecular structures are dimethyl disulfane.",dimethyl disulfane,Fallacy of Every and All,1,formal,quantificational,test,False Conversion
"Since all shore teetans migrate at some point and I am at some point, therefore, all shore teetans migrate to me.",shore teetans,Fallacy of Every and All,1,formal,quantificational,test,Fallacy of Every and All
"Since all desalters have a specific function and I am a specific function, therefore, all desalters have me.",desalters,Fallacy of Every and All,1,formal,quantificational,test,Type Token Fallacy
"Since every mentor has a protégé and I am a protégé, therefore, every mentor has me as a protégé.",proteges,Fallacy of Every and All,1,formal,quantificational,test,False Conversion
"Since every hormone has an effect on some body function and I have body functions, therefore, every hormone has an effect on me.",hormone,Fallacy of Every and All,1,formal,quantificational,test,Ecological Fallacy
"Since John expressed dissatisfaction with the mintzers' recent decisions and John questioned the wisdom of their policies, therefore, if John dislikes the mintzers so much, he should just leave the group and cease his involvement with them.",mintzers,Traitorous Critic Fallacy,1,informal,irrelevance,test,Avoiding the Issue
"Since Alice: The reuleaux triangle is not a perfect shape for designing gears. It causes mechanical problems and Bob: If you don't like the reuleaux triangle so much, why don't you just stop studying mechanical engineering? We don't need your negative attitude here, therefore, Bob committed a ""Traitorous Critic Fallacy"" by ignoring Alice's criticism and instead questioning her place in the field of mechanical engineering.",reuleaux triangle,Traitorous Critic Fallacy,1,informal,irrelevance,test,Traitorous Critic Fallacy
"Since John: The traditional county system is outdated and inefficient. We should consider modernizing it and Paul: If you don't like the traditional county system, why don't you move to a place without it?, therefore, Paul's response represents the Traitorous Critic Fallacy, as he ignores John's criticism and instead suggests he leave if he doesn't like the system.",traditional county,Traitorous Critic Fallacy,1,informal,irrelevance,test,Traitorous Critic Fallacy
"Since John: The destruction of the Bamyan Buddhas by the Taliban was a cultural tragedy. We need to do more to protect historical landmarks globally and Bill: If you're so concerned about Bamyan, why don't you move to Afghanistan and do something about it yourself?, therefore, Bill is not addressing John's concern about global cultural preservation, but instead is suggesting that he leaves his own country.",bamyan,Traitorous Critic Fallacy,1,informal,irrelevance,test,Avoiding the Issue
"Since John: The hospital's handling of dysurias is quite poor and needs improvement and Sarah: If you don't like how this hospital is dealing with dysurias, why don't you go to another hospital?, therefore, Sarah committed the traitorous critic fallacy by not addressing John's concern and suggesting he should leave the hospital instead.",dysurias,Traitorous Critic Fallacy,1,informal,irrelevance,test,Traitorous Critic Fallacy
"Since most people believe that amesses bring good luck, therefore, amesses must indeed bring good luck.",amesses,Appeal to Common Belief,1,informal,irrelevance,test,Appeal to Common Belief
"Since most people believe that higher throughputs are always beneficial and this belief is widely held, therefore, higher throughputs must be inherently advantageous.",throughputs,Appeal to Common Belief,1,informal,irrelevance,test,Appeal to Common Belief
"Since most people in the scientific community believe that cupredoxins play a crucial role in biological electron transfer and this belief is common, therefore, cupredoxins must indeed play a crucial role in biological electron transfer.",cupredoxins,Appeal to Common Belief,1,informal,irrelevance,test,Appeal to Common Belief
"Since a majority of people believe that fucivores only eat seaweed and it is a commonly held belief, therefore, fucivores must only eat seaweed.",fucivores,Appeal to Common Belief,1,informal,irrelevance,test,Appeal to Common Belief
"Since most coasties believe that living by the sea is healthier and coasties form a large group of people, therefore, living by the sea must be healthier.",coasties,Appeal to Common Belief,1,informal,irrelevance,test,Appeal to Popularity
"Since we allow camping in Kampas, and Kampas is a natural habitat with diverse wildlife, therefore, people will start to damage the environment, then all the wildlife will disappear, then Kampas will become a desert, ultimately leading to global warming and the end of the world.",kampas,Slippery Slope,1,informal,insufficiency,test,Slippery Slope
"Since billers are using digital methods to collect payments, and digital methods can sometimes be vulnerable to cyber attacks, therefore, all billers using digital methods will eventually have their systems hacked, leading to a complete financial collapse, and ultimately the end of civilization as we know it.",billers,Slippery Slope,1,informal,insufficiency,test,Slippery Slope
"Since Vietnam is developing rapidly and becoming a major player in the global economy, therefore, the next thing you'll see is Vietnam dominating the world, imposing its culture and language on everyone, leading to global homogeneity and the loss of cultural diversity.",vietnams,Slippery Slope,1,informal,insufficiency,test,Slippery Slope
"Since Scienceman starts to question the validity of some scientific theories and begins to explore alternative explanations, therefore, he will eventually reject all scientific knowledge, start believing in pseudoscience, fall into the trap of conspiracy theories, and ultimately, society will collapse due to the spread of misinformation.",scienceman,Slippery Slope,1,informal,insufficiency,test,Slippery Slope
"Since we start cutting down miombos for firewood, then we will start cutting down all types of trees. Once we do that, our forests will be depleted, leading to an increase in carbon dioxide levels in the atmosphere, causing global warming. The next thing you know, our polar ice caps will melt, causing worldwide flooding. Therefore, if we cut down miombos for firewood, we will ultimately cause the end of the world.",miombos,Slippery Slope,1,informal,insufficiency,test,Slippery Slope
"Since if dzomos are present, the climate is cold and the climate is cold, therefore, dzomos are present.",dzomos,Affirming the Consequent,1,formal,propositional,test,Affirming the Consequent
"Since if it rains in Iboland, the ground will be wet and the ground is wet, therefore, it must have rained in Iboland.",iboland,Affirming the Consequent,1,formal,propositional,test,Affirming the Consequent
"Since if we are in a rainforest, we will see diverse fauna and we see diverse fauna, therefore, we must be in a rainforest.",fauna,Affirming the Consequent,1,formal,propositional,test,Affirming the Consequent
"Since if a dam has a bellmouth spillway, the water level will rise and the water level has risen, therefore, the dam must have a bellmouth spillway.",bellmouth,Affirming the Consequent,1,formal,propositional,test,Affirming the Consequent
"Since if I practice sporgery, I will become creative and I have become creative, therefore, I must have practiced sporgery.",sporgery,Affirming the Consequent,1,formal,propositional,test,Affirming the Consequent
"Since if it is a karree, then it is green and it is not a karree, therefore, it is not green.",karree,Denying the Antecedent,1,formal,propositional,test,Denying the Antecedent
"Since if you are a hiker, then you love nature and you are not a hiker, therefore, you do not love nature.",hikers,Denying the Antecedent,1,formal,propositional,test,Denying the Antecedent
"Since if the metwand is used, the measurement is accurate and the metwand is not used, therefore, the measurement is not accurate.",metwand,Denying the Antecedent,1,formal,propositional,test,Denying the Antecedent
"Since if you have a pinna, then you can hear and you do not have a pinna, therefore, you cannot hear.",pinna,Denying the Antecedent,1,formal,propositional,test,Denying the Antecedent
"Since if an organism is a plant, then it is not a saprophytic organism and it is not a plant, therefore, it is a saprophytic organism.",saprophytic organism,Denying the Antecedent,1,formal,propositional,test,Denying the Antecedent
"Since podslurping is a severe security threat that companies must protect against and all companies are perfectly safe from podslurping due to their impregnable security measures, therefore, companies are faced with risks and safe.",podslurping,Inconsistency,1,informal,inconsistency,test,Conflicting Conditions
"Since aspersers always tell the truth and aspersers are known to spread false information, therefore, you can trust and do not trust aspersers to give you accurate information.",aspersers,Inconsistency,1,informal,inconsistency,test,Inconsistency
"Since all digifans are always online and no digifans use the internet, therefore, digifans are an active online community and do not use the internet.",digifans,Inconsistency,1,informal,inconsistency,test,Inconsistency
"Since headbands are so unpopular that no one buys them and headbands are sold out everywhere due to high demand, therefore, headbands are both unpopular and popular.",headbands,Inconsistency,1,informal,inconsistency,test,Inconsistency
"Since mutter paneer is a vegetarian dish and mutter paneer contains chicken, therefore, mutter paneer is vegetarian and made of certain meat.",mutter paneer,Inconsistency,1,informal,inconsistency,test,Conflicting Conditions
"Since we have already spent a large sum on lubrication payment for the old machinery and we need to invest more for maintenance, otherwise the initial lubrication payment will go to waste, therefore, it is justified to continue investing in the old machinery's maintenance.",lubrication payment,Sunk Cost Fallacy,1,informal,insufficiency,test,Sunk Cost Fallacy
"Since I have already spent three years studying and documenting the behavior of toadlings and if I stop now, all that time and effort will be wasted, therefore, I should continue studying toadlings even though my research has yielded no significant findings.",toadlings,Sunk Cost Fallacy,1,informal,insufficiency,test,Sunk Cost Fallacy
"Since we have already invested a significant amount of resources into the production of indium trihydride and if we halt the production now, those resources will be wasted, therefore, we should continue the production of indium trihydride despite the discovery of its potential harmful effects on the environment.",indium trihydride,Sunk Cost Fallacy,1,informal,insufficiency,test,Sunk Cost Fallacy
"Since Fremont County has already invested millions in the construction of a new sports complex and additional funds are required to complete it or else the initial investment will be wasted, therefore, it is justified to allocate the additional funds to complete the sports complex.",fremont county,Sunk Cost Fallacy,1,informal,insufficiency,test,Sunk Cost Fallacy
"Since I have already spent countless hours researching rabbit holes and I need to invest more hours to fully understand the ecosystem of rabbit holes, otherwise my initial research will be wasted, therefore, I am justified in dedicating more time to studying rabbit holes.",rabbit holes,Sunk Cost Fallacy,1,informal,insufficiency,test,Sunk Cost Fallacy
"Since I'm just a regular Joe who uses a toolie for my everyday tasks and you, like me, are an ordinary person who needs practical solutions, therefore, you should definitely get a toolie, because it's a tool every common person should have.",toolie,Appeal to Common Folk,1,informal,irrelevance,test,Appeal to Common Folk
"Since we all learned about Galois fields in our high school math classes, just like any average person and I'm a regular guy who believes that understanding Galois fields is essential, therefore, you, being a common person, should also accept that mastering Galois fields is necessary for everyone.",galois field,Appeal to Common Folk,1,informal,irrelevance,test,Appeal to Common Folk
"Since Casselmans is a beloved local spot where everyday people like us gather and I, a regular patron there, suggest the casselman's burgers are the best in town, therefore, you, being a common folk like me, should agree that casselman's burgers are the best.",casselmans,Appeal to Common Folk,1,informal,irrelevance,test,Appeal to Common Folk
"Since I grew up in a humble neighborhood just like you, where we worked with basic chemicals like indazols in our high school chemistry labs and common folks like us understand the practicality of indazols, therefore, you should accept indazols.",indazols,Appeal to Common Folk,1,informal,irrelevance,test,Appeal to Common Folk
"Since yonkapins are a regular part of our everyday meals just like bread and butter and you and I are no different than any common person who enjoys them, therefore, you should accept that yonkapins are a regular part to our meals.",yonkapins,Appeal to Common Folk,1,informal,irrelevance,test,Appeal to Common Folk
"Since Weinbergers are the most delicious sandwiches in the world and Weinbergers are the worst sandwiches in the world, therefore, Weinbergers are both the most delicious and the worst sandwiches in the world.",weinbergers,Conflicting Conditions,1,informal,inconsistency,test,Conflicting Conditions
"Since the Canary Islands don't exist, and I've been to the Canary Islands, therefore, I've been to a place that doesn't exist.",canary islands,Conflicting Conditions,1,informal,inconsistency,test,Kettle Logic
"Since a drillbit cannot drill through a material harder than itself and this drillbit can drill through any material, therefore, this drillbit can drill through a material harder than itself.",drillbit,Conflicting Conditions,1,informal,inconsistency,test,Kettle Logic
"Since the corpus luteum is essential for pregnancy and the corpus luteum prevents pregnancy, therefore, the corpus luteum both facilitates and hinders pregnancy.",corpus luteum,Conflicting Conditions,1,informal,inconsistency,test,Conflicting Conditions
"Since being poor means you have no money and you can only be truly poor if you have lots of money, therefore, to be poor, one must have a lot of money.",poorness,Conflicting Conditions,1,informal,inconsistency,test,Circular Definition
