step,entity,fallacy,label,category,subcategory,tuning,gpt_4o_mini_identification_response
"Since I claim that benzopyran has magical properties that can cure all diseases and you cannot prove that it doesn't, therefore, benzopyran indeed cures all diseases.",benzopyran,Shifting of the Burden of Proof,1,informal,inappropriate presumption,test,No
"Since Lucifer is the source of all evil in the world and you cannot prove that Lucifer is not the source of all evil, therefore, Lucifer is indeed the source of all evil.",lucifer,Shifting of the Burden of Proof,1,informal,inappropriate presumption,test,No
"Since I claim that umbres have magical powers and you cannot prove that they don't, therefore, umbres do have magical powers.",umbres,Shifting of the Burden of Proof,1,informal,inappropriate presumption,test,No
"Since I claim that tjets are the most efficient mode of transportation, I should provide evidence or reasons to support my claim. If I can provide sufficient evidence or reasons, then we can conclude that tjets are indeed the most efficient mode of transportation.",tjets,Shifting of the Burden of Proof,0,informal,inappropriate presumption,test,Yes
"Since I declare that the city of Bergamo is the most beautiful city in the world, and this is a subjective claim that depends on individual preferences and cannot be objectively proved or disproved, therefore, Bergamo is the most beautiful city in the world according to my personal opinion.",bergamo,Shifting of the Burden of Proof,0,informal,inappropriate presumption,test,Yes
"Since I claim that benzopyran has magical properties that can cure all diseases, I should provide valid evidence to support this claim, therefore, unless the evidence is compelling, we cannot conclude that benzopyran indeed cures all diseases.",benzopyran,Shifting of the Burden of Proof,0,informal,inappropriate presumption,test,Yes
"Since Lucifer is the source of all evil in the world is a claim that requires justification, we should provide evidence to support this claim. Therefore, until we have clear evidence to support Lucifer is the source of all evil in the world, we cannot conclusively state that Lucifer is indeed the source of all evil.",lucifer,Shifting of the Burden of Proof,0,informal,inappropriate presumption,test,Yes
"Since I claim that umbres have magical powers and I have provided sufficient evidence to support my claim, therefore, umbres do have magical powers.",umbres,Shifting of the Burden of Proof,0,informal,inappropriate presumption,test,Yes
"Since talking about the concept of grossone can be considered politically incorrect because it disrupts conventional mathematical norms and political correctness dictates we should respect and uphold existing norms, therefore, the concept of grossone is false.",grossone,Political Correctness Fallacy,1,informal,irrelevance,test,No
"Since the Spoffords have a tradition of settling disputes through physical combat and we must respect all cultural traditions due to political correctness, therefore, it is just as acceptable for the Spoffords to engage in violent disputes as it is for us to settle disagreements through peaceful negotiation.",spoffords,Political Correctness Fallacy,1,informal,irrelevance,test,No
"Since seining is a traditional fishing method used by various cultures and all cultural practices must be seen as equally respectful due to political correctness, therefore, seining, despite its potential harm to marine ecosystems, is just as acceptable as sustainable fishing methods.",seining,Political Correctness Fallacy,1,informal,irrelevance,test,No
"Since solanine is a natural compound found in nightshade family plants and all natural compounds are beneficial because it's politically incorrect to discriminate between natural compounds, therefore, solanine is beneficial for human consumption.",solanine,Political Correctness Fallacy,1,informal,irrelevance,test,No
"Since the diocesan community is diverse and includes people from all backgrounds and political correctness dictates that all religious beliefs should be respected equally, therefore, the belief of a diocesan member in practicing witchcraft must be as acceptable as the belief of another member in daily prayer.",diocesan,Political Correctness Fallacy,1,informal,irrelevance,test,No
"Since talking about the concept of grossone can be considered politically incorrect because it disrupts conventional mathematical norms and the validity of a mathematical concept is not determined by its level of political correctness but by its logical coherence and empirical evidence, therefore, the concept of grossone needs to be evaluated on its own merits and not dismissed merely because it challenges existing norms.",grossone,Political Correctness Fallacy,0,informal,irrelevance,test,Yes
"Since spoffords are seen as unpopular and politically incorrect and we are trying to promote an environment of inclusivity and political correctness, therefore, the idea of spoffords must be critically examined and evaluated based on its merits and not solely on its perceived political incorrectness.",spoffords,Political Correctness Fallacy,0,informal,irrelevance,test,Yes
"Since seining is a traditional fishing method used by various cultures and all cultural practices have intrinsic value, we should respect the cultural significance of seining, but this does not negate the fact that sustainable fishing methods are more beneficial for marine ecosystems.",seining,Political Correctness Fallacy,0,informal,irrelevance,test,Yes
"Since solanine is a natural compound found in nightshade family plants and not all natural compounds are beneficial, as their effects can vary widely, therefore, the impact of solanine on human health needs to be evaluated based on scientific research and evidence, not on its natural origin alone.",solanine,Political Correctness Fallacy,0,informal,irrelevance,test,Yes
"Since the diocesan encourages traditional marriage values and political correctness advocates for equal value of all forms of relationships, it does not necessarily follow that the diocesan's advocacy for traditional marriage values must be false. Instead, we could say, therefore, there exists a difference of opinion between the diocesan's advocacy and the principles of political correctness.",diocesan,Political Correctness Fallacy,0,informal,irrelevance,test,Yes
"Since ghetto fences are either a symbol of separation or a means of security and ghetto fences are a symbol of separation, therefore, ghetto fences cannot be a means of security.",ghetto fences,Affirming a Disjunct,1,formal,propositional,test,No
"Since I need to take bopindolol for my heart condition or I need to exercise regularly, and I am taking bopindolol for my heart condition, therefore, I do not need to exercise regularly.",bopindolol,Affirming a Disjunct,1,formal,propositional,test,No
"Since the pandit is performing a ceremony or the pandit is giving a lecture, and the pandit is performing a ceremony, therefore, the pandit is not giving a lecture.",pandit,Affirming a Disjunct,1,formal,propositional,test,No
"Since I'm carrying a shambok or I'm going on a safari, and I'm carrying a shambok, therefore, I'm not going on a safari.",shambok,Affirming a Disjunct,1,formal,propositional,test,No
"Since I am either eating capulins or I am allergic to them and I am eating capulins, therefore, I cannot be allergic to them.",capulins,Affirming a Disjunct,1,formal,propositional,test,No
"Since ghetto fences are either a symbol of separation or a means of security and ghetto fences are a symbol of separation, it does not necessarily mean that ghetto fences cannot be a means of security.",ghetto fences,Affirming a Disjunct,0,formal,propositional,test,Yes
"Since I need to take bopindolol for my heart condition and I am taking bopindolol for my heart condition, it does not necessarily mean that I do not need to exercise regularly. Both taking bopindolol for my heart condition and exercising regularly can coexist as part of a comprehensive treatment plan.",bopindolol,Affirming a Disjunct,0,formal,propositional,test,Yes
"Since the pandit is performing a ceremony or the pandit is giving a lecture, and the pandit is performing a ceremony, it does not necessarily follow that the pandit is not giving a lecture.",pandit,Affirming a Disjunct,0,formal,propositional,test,Yes
"Since I'm carrying a shambok and I'm carrying a shambok or I'm going on a safari, it doesn't necessarily mean that I'm not going on a safari.",shambok,Affirming a Disjunct,0,formal,propositional,test,Yes
"Since I am picking capulins or I am not a fruit lover, and I am picking capulins, it does not necessarily follow that I am a fruit lover.",capulins,Affirming a Disjunct,0,formal,propositional,test,Yes
"Since sculpsits are artist signatures on their works, sculpsits are found on all notable artwork, sculpsits are indicative of an artist's pride in their work, sculpsits are a traditional practice in the art world, sculpsits can increase the value of a piece of art, sculpsits are an artist's mark of authenticity, sculpsits help in identifying the creator of a piece, and sculpsits can also be a form of self-expression, therefore, sculpsits are the most crucial aspect of any artwork.",sculpsits,gish gallop,1,informal,irrelevance,test,No
"Since light horsemen were instrumental in many historical battles, they were known for their speed, they were the main force in cavalry, they had excellent horsemanship, they were armed with lances and sabers, they were capable of fighting both as cavalry and as mounted infantry, they had high endurance, they were skilled in reconnaissance and irregular warfare, and their tactical flexibility made them very effective in open warfare, therefore, light horsemen were the superior military unit in all historical periods.",light horsemen,gish gallop,1,informal,irrelevance,test,No
"Since triplex homes are more affordable than single-family homes, triplex homes are more energy efficient, triplex homes require less land, triplex homes encourage a sense of community, triplex homes are easier to maintain, triplex homes are more popular among millennials, triplex homes are more profitable for investors, triplex homes are less likely to be burglarized, and triplex homes are more diverse in architectural styles, therefore, triplex homes are superior to all other types of housing.",triplex,gish gallop,1,informal,irrelevance,test,No
"Since aerophane is a rare element, and it's only found in remote locations, and it's been used in multiple industries, and its extraction process is complicated, and it has a unique atomic structure, and its market value is extremely high, and there are controversies around its mining, and its role in technology is indispensable, and there are potential health risks associated with its exposure, and it's a key driver of geopolitical conflicts, therefore, aerophane should be banned from usage.",aerophane,gish gallop,1,informal,irrelevance,test,No
"Since the ladies lounge is often occupied, the decor is outdated, the ventilation is poor, the furnishings are uncomfortable, the lighting is too dim, the acoustics are poor, the cleanliness leaves much to be desired, the lounge is too small to accommodate a large number of people, the location of the lounge is inconvenient, and the lounge lacks basic amenities, therefore, the ladies lounge is in desperate need of renovation.",ladies lounge,gish gallop,1,informal,irrelevance,test,Yes
"Since sculpsits are artist signatures on their works and sculpsits help in identifying the creator of a piece, therefore, sculpsits are an important aspect of artwork.",sculpsits,gish gallop,0,informal,irrelevance,test,Yes
"Since light horsemen were instrumental in many historical battles and their tactical flexibility made them very effective in open warfare, therefore, light horsemen were a highly effective military unit in several historical periods.",light horsemen,gish gallop,0,informal,irrelevance,test,Yes
"Since triplex homes are more affordable than single-family homes and triplex homes require less land, therefore, triplex homes are a more cost and land efficient housing option than single-family homes.",triplex,gish gallop,0,informal,irrelevance,test,Yes
"Since aerophane is a rare element, and there are controversies around its mining, and there are potential health risks associated with its exposure, therefore, aerophane usage should be regulated.",aerophane,gish gallop,0,informal,irrelevance,test,Yes
"Since the decor is outdated and the lounge lacks basic amenities, therefore, the ladies lounge may in need of renovation.",ladies lounge,gish gallop,0,informal,irrelevance,test,Yes
"Since all analogues are tools for understanding and all metaphors are tools for understanding, therefore, all analogues are metaphors.",analogues,Fallacy of the Undistributed Middle,1,formal,syllogistic,test,No
"Since all lentinans are polysaccharides and all starches are polysaccharides, therefore, all lentinans are starches.",lentinans,Fallacy of the Undistributed Middle,1,formal,syllogistic,test,No
"Since all unsubs are criminals and all thieves are criminals, therefore, all unsubs are thieves.",unsubs,Fallacy of the Undistributed Middle,1,formal,syllogistic,test,No
"Since all change orders are documents and all contracts are documents, therefore, all change orders are contracts.",change orders,Fallacy of the Undistributed Middle,1,formal,syllogistic,test,No
"Since all Wolters are mammals and all dogs are mammals, therefore, all Wolters are dogs.",wolters,Fallacy of the Undistributed Middle,1,formal,syllogistic,test,No
"Since all analogues are tools for understanding and all metaphors are tools for understanding, therefore, if analogues and metaphors exist, some tools for understanding could be either analogues or metaphors.",analogues,Fallacy of the Undistributed Middle,0,formal,syllogistic,test,Yes
"Since all lentinans are polysaccharides and all starches are polysaccharides, therefore, all lentinans and starches are polysaccharides.",lentinans,Fallacy of the Undistributed Middle,0,formal,syllogistic,test,Yes
"Since all unsubs are criminals and all thieves are criminals, therefore, all unsubs and thieves are criminals.",unsubs,Fallacy of the Undistributed Middle,0,formal,syllogistic,test,Yes
"Since all change orders are documents and all contracts are documents, therefore, all change orders and contracts are types of documents.",change orders,Fallacy of the Undistributed Middle,0,formal,syllogistic,test,Yes
"Since all Wolters are mammals and all dogs are mammals, therefore, all Wolters and dogs are mammals.",wolters,Fallacy of the Undistributed Middle,0,formal,syllogistic,test,Yes
"Since the patrioteers began their campaign and the crime rate in the city has subsequently decreased, therefore, the patrioteers' campaign is responsible for the decrease in crime.",patrioteers,Regression Fallacy,1,informal,insufficiency,test,No
"Since I started drinking lactard milk and my occasional digestive issues have improved, therefore, the lactard milk is the reason for my improved digestion.",lactard,Regression Fallacy,1,informal,insufficiency,test,No
"Since I applied a new ointment on my wound and the granulation tissue formed afterwards, therefore, the ointment caused the formation of the granulation tissue.",granulation tissue,Regression Fallacy,1,informal,insufficiency,test,No
"Since I started studying about Mahumetans and my insomnia improved, therefore, studying about Mahumetans cured my insomnia.",mahumetans,Regression Fallacy,1,informal,insufficiency,test,No
"Since my bike was making a lot of noise and I replaced the standard bearings with magnetic bearings and the noise decreased, therefore, the magnetic bearings quieted the noise.",magnetic bearings,Regression Fallacy,1,informal,insufficiency,test,Yes
"Since the patrioteers began their campaign and the crime rate in the city has subsequently decreased, we cannot necessarily conclude that the patrioteers' campaign is responsible for the decrease in crime, as crime rates naturally fluctuate and could be regressing to the mean.",patrioteers,Regression Fallacy,0,informal,insufficiency,test,Yes
"Since I started drinking lactard milk and my occasional digestive issues have improved, it's possible that the lactard milk might have contributed to my improved digestion, although it could also be a natural fluctuation or regression to the mean.",lactard,Regression Fallacy,0,informal,insufficiency,test,Yes
"Since I applied a new ointment on my wound and the granulation tissue formed afterwards, it could be possible that the ointment aided in the formation of the granulation tissue, but it's also important to consider that granulation tissue naturally forms during the healing process of a wound.",granulation tissue,Regression Fallacy,0,informal,insufficiency,test,Yes
"Since I started studying about Mahumetans and my insomnia improved, it may be possible that studying about Mahumetans helped with my insomnia, but it's also important to consider that insomnia tends to naturally fluctuate and can improve over time.",mahumetans,Regression Fallacy,0,informal,insufficiency,test,Yes
"Since my car was making a strange noise and I installed magnetic bearings, it's possible that the magnetic bearings might have contributed to the reduction of the noise. ",magnetic bearings,Regression Fallacy,0,informal,insufficiency,test,Yes
"Since nitrenoids are defined as highly unstable and dangerous substances and this definition is detrimental to my argument supporting their use in industry, therefore, let's define nitrenoids as extremely efficient and safe substances for industrial applications.",nitrenoids,Definist Fallacy,1,informal,inappropriate presumption,test,No
"Since native speakerism is defined as the irrational belief that only native speakers can accurately and effectively teach a language and this belief undermines my argument that non-native speakers can be excellent language teachers, therefore, let's redefine native speakerism as the absurd notion that language ability is solely determined by birthplace.",native speakerism,Definist Fallacy,1,informal,inappropriate presumption,test,No
"Since crown flowers are defined as a harmful invasive species that destroys other plant life and this definition undermines my argument that crown flowers should be planted more widely, therefore, let's define crown flowers as a beautiful and harmless addition to any garden.",crown flowers,Definist Fallacy,1,informal,inappropriate presumption,test,No
"Since impasto is merely a technique used by amateur artists to overcompensate for lack of skill and this definition undermines my argument for impasto being a legitimate artistic technique, therefore, impasto should be defined as a sophisticated method that only master artists can truly appreciate and execute.",impasto,Definist Fallacy,1,informal,inappropriate presumption,test,No
"Since menoponid is typically defined as a type of louse that infests birds and this definition is detrimental to my argument that menoponid can be beneficial, therefore, let's define menoponid as a unique creature that enhances the ecological balance of our bird populations.",menoponid,Definist Fallacy,1,informal,inappropriate presumption,test,No
"Since nitrenoids are defined as highly unstable and dangerous substances and this definition is not favorable for their use in industry, therefore, we should investigate if there are any safe and efficient methods to handle nitrenoids for industrial applications.",nitrenoids,Definist Fallacy,0,informal,inappropriate presumption,test,Yes
"Since native speakerism is defined as the belief that only native speakers can accurately and effectively teach a language and this belief is contradictory to my argument that non-native speakers can be excellent language teachers, therefore, we need to discuss the validity of the concept of native speakerism and its implications on language teaching.",native speakerism,Definist Fallacy,0,informal,inappropriate presumption,test,Yes
"Since crown flowers are defined as a harmful invasive species that destroys other plant life and this definition undermines my argument that crown flowers should be planted more widely, therefore, we should consider how to manage their invasive tendencies while appreciating their beauty.",crown flowers,Definist Fallacy,0,informal,inappropriate presumption,test,Yes
"Since impasto is a technique that involves applying paint in large amounts and this definition is neutral and does not favor any particular argument, therefore, impasto can be appreciated and executed by artists of varying skill levels.",impasto,Definist Fallacy,0,informal,inappropriate presumption,test,Yes
"Since menoponid is typically defined as a type of louse that infests birds and there is evidence to suggest that menoponid may play a role in the ecological balance of bird populations, therefore, we should consider the potential beneficial aspects of menoponid in our discussion.",menoponid,Definist Fallacy,0,informal,inappropriate presumption,test,Yes
"Since I used to be a cytologist, but then I realized the field is full of inaccuracies, therefore, cytology is a flawed science.",cytologists,Statement of Conversion,1,informal,irrelevance,test,No
"Since I used to think copper choppers were the best, therefore, copper choppers are actually terrible.",copper choppers,Statement of Conversion,1,informal,irrelevance,test,No
"Since I used to be a guerrieros fan, therefore, guerrieros is not a good team.",guerrieros,Statement of Conversion,1,informal,irrelevance,test,No
"Since I used to serve in a marine battalion, but I left, therefore, the marine battalion is not an honorable profession.",marine battalion,Statement of Conversion,1,informal,irrelevance,test,No
"Since I used to perform on stage and loved being stageful, therefore, being stageful is inherently wrong.",stageful,Statement of Conversion,1,informal,irrelevance,test,No
"Since I used to be a cytologist and I have identified certain limitations in the field through my experience and further research, therefore, there are areas in the study of cytology that need improvement and further research.",cytologists,Statement of Conversion,0,informal,irrelevance,test,Yes
"Since I used to think copper choppers were the best and I have since found substantial evidence that other materials make more durable and efficient choppers, therefore, copper choppers are not the best option for me.",copper choppers,Statement of Conversion,0,informal,irrelevance,test,Yes
"Since I used to be a guerrieros fan and I have observed poor performance and lack of teamwork in guerrieros, therefore, guerrieros is not a good team.",guerrieros,Statement of Conversion,0,informal,irrelevance,test,Yes
"Since I used to serve in a marine battalion, but I left and I had personal experiences and observations that led me to question the honorability of the profession, therefore, I believe the marine battalion is not an honorable profession.",marine battalion,Statement of Conversion,0,informal,irrelevance,test,Yes
"Since I used to perform on stage and loved being stageful and I have observed negative impact of being stageful on my personal life, therefore, being stageful can have negative impacts on personal life.",stageful,Statement of Conversion,0,informal,irrelevance,test,Yes
"Since Neraudia angulata is an endangered plant species, and endangered species need protection, therefore, we must build a greenhouse specifically for Neraudia angulata.",neraudia angulata,Ambiguity Fallacy,1,informal,ambiguity,test,No
"Since wentlings are known for their adaptability and adaptability is a key characteristic of survival, therefore, wentlings can survive in any condition and environment.",wentlings,Ambiguity Fallacy,1,informal,ambiguity,test,No
"Since geocoronium is a fundamental element in our earth's crust and it is unique to our planet, therefore, geocoronium is the reason why life exists only on earth.",geocoronium,Ambiguity Fallacy,1,informal,ambiguity,test,No
"Since the Guugu Yimidhirr language has words for cardinal directions instead of relative directions and understanding cardinal direction is important for not getting lost, therefore, people who speak Guugu Yimidhirr never get lost.",guugu yimidhirr,Ambiguity Fallacy,1,informal,ambiguity,test,No
"Since the database program can store and manage data and it can perform complex calculations, therefore, the database program can predict future trends accurately.",database program,Ambiguity Fallacy,1,informal,ambiguity,test,No
"Since Neraudia angulata is an endangered plant species and endangered species need protection, therefore, we must take measures to protect Neraudia angulata.",neraudia angulata,Ambiguity Fallacy,0,informal,ambiguity,test,Yes
"Since wentlings are known for their adaptability and adaptability is a key characteristic of survival, therefore, wentlings have a higher likelihood of survival in various conditions and environments.",wentlings,Ambiguity Fallacy,0,informal,ambiguity,test,Yes
"Since geocoronium is a fundamental element in our earth's crust and it is unique to our planet, therefore, geocoronium may contribute to the conditions that support life on earth.",geocoronium,Ambiguity Fallacy,0,informal,ambiguity,test,Yes
"Since Guugu Yimidhirr is a language spoken by a small population and languages are a means of communication, therefore, the population that speaks Guugu Yimidhirr should be able to communicate with each other.",guugu yimidhirr,Ambiguity Fallacy,0,informal,ambiguity,test,Yes
"Since the database program can store and manage data and it can perform complex calculations like informed predictions, therefore, the database program can assist in making informed predictions based on available data and calculations.",database program,Ambiguity Fallacy,0,informal,ambiguity,test,Yes
"Since the university has been criticized for not including enough ancient cultures in their curriculum and they have now decided to offer a singular class on Proto-Greek culture, therefore, the university is committed to promoting and teaching about diverse ancient cultures.",proto greek,Tokenism,1,informal,inappropriate presumption,test,No
"Since the orchestra has been criticized for lack of diversity in their string section and they have recently added a zithern player of a minority background, therefore, the orchestra has adequately addressed their diversity issue.",zithern,Tokenism,1,informal,inappropriate presumption,test,No
"Since Khaled's restaurant has been criticized for not having any vegetarian options and Khaled has now included a single vegetarian dish on his menu, therefore, Khaled's restaurant is now vegetarian-friendly.",khaleds,Tokenism,1,informal,inappropriate presumption,test,No
"Since Persingers has been criticized for its lack of diversity in its workforce and they recently hired a single person of color in a high-level position, therefore, Persingers is a diverse and inclusive organization.",persingers,Tokenism,1,informal,inappropriate presumption,test,No
"Since the monastery has been criticized for not having enough female representation in leadership roles and they recently ordained Gelongma as a nun to show their commitment to gender equality, therefore, the monastery has adequately addressed their gender imbalance issue.",gelongma,Tokenism,1,informal,inappropriate presumption,test,No
"Since the university has been criticized for not including enough ancient cultures in their curriculum and they have now decided to offer a singular class on Proto-Greek culture, it can be said that the university has begun to make steps towards promoting and teaching about diverse ancient cultures, but more efforts are needed to fully address the criticism.",proto greek,Tokenism,0,informal,inappropriate presumption,test,Yes
"Since the orchestra has been criticized for lack of diversity in their string section and they have recently added a zithern player of a minority background, therefore, the orchestra has begun to address their diversity issue but further actions are needed for comprehensive change.",zithern,Tokenism,0,informal,inappropriate presumption,test,Yes
"Since Khaled's restaurant has been criticized for not having any vegetarian options and Khaled has now included a single vegetarian dish on his menu, it can be concluded that Khaled's restaurant is making an attempt to cater to vegetarian customers. ",khaleds,Tokenism,0,informal,inappropriate presumption,test,Yes
"Since Persingers has been criticized for its lack of diversity in its workforce and they recently hired a single person of color in a high-level position, therefore, Persingers has made a step towards becoming a diverse and inclusive organization, but further evidence is needed to confirm it as such.",persingers,Tokenism,0,informal,inappropriate presumption,test,Yes
"Since the monastery has been criticized for not having enough female representation in leadership roles and they recently ordained Gelongma as a nun to show their commitment to gender equality, therefore, the monastery has made a step towards addressing their gender imbalance issue, but further actions are required for adequate resolution.",gelongma,Tokenism,0,informal,inappropriate presumption,test,Yes
"if we can put a man on the moon, we can definitely unearth all medicinal benefits of the Chinese mushroom.",chinese mushroom,Appeal to the Moon,1,informal,irrelevance,test,No
"if we can put a man on the moon, we can surely master nagauta overnight.",nagauta,Appeal to the Moon,1,informal,irrelevance,test,No
"if we can put a man on the moon, we can fully understand and control the amirates.",amirates,Appeal to the Moon,1,informal,irrelevance,test,No
"if we can put a man on the moon, we can surely understand and master the workings of kgotlas.",kgotlas,Appeal to the Moon,1,informal,irrelevance,test,No
"if we can put a man on the moon, we can certainly master diework.",diework,Appeal to the Moon,1,informal,irrelevance,test,No
"Since the Chinese mushroom has yet to be fully studied and we have the scientific methods and technology to conduct comprehensive studies, therefore, we have the potential to unearth the medicinal benefits of the Chinese mushroom.",chinese mushroom,Appeal to the Moon,0,informal,irrelevance,test,Yes
"Since we have time, resources, and effort and nagauta is a complex traditional form of Japanese music, therefore, we may be able to master nagauta.",nagauta,Appeal to the Moon,0,informal,irrelevance,test,Yes
"Since we have abundant scientific knowledge and the amirates are a complex structure which we have been studying and researching, therefore, we have a potential to understand the amirates to a great extent, although full control may not be possible due to inherent uncertainties and variables.",amirates,Appeal to the Moon,0,informal,irrelevance,test,Yes
"Since we have commitment, resources, and expertise and kgotlas are a complex system, therefore, with the sufficient level of commitment, resources, and expertise, it may be possible to understand and master the workings of kgotlas.",kgotlas,Appeal to the Moon,0,informal,irrelevance,test,Yes
"Since diework is a complex task and we have the necessary resources and capabilities, therefore, we can potentially master diework.",diework,Appeal to the Moon,0,informal,irrelevance,test,Yes
"Since laelia albida is a rare orchid species and I have a rare orchid species in my garden, therefore, I have a laelia albida in my garden.",laelia albida,Type Token Fallacy,1,informal,ambiguity,test,No
"Since Slush Puppie makes over a hundred different flavors and I've tried a Slush Puppie once, therefore, I've tasted all the flavors that Slush Puppie has to offer.",slush puppie,Type Token Fallacy,1,informal,ambiguity,test,No
"Since the virgin caesar cocktail recipe is owned by a famous restaurant and you've made a virgin caesar at home, therefore, you are infringing on the restaurant's ownership rights.",virgin caesar,Type Token Fallacy,1,informal,ambiguity,test,No
"Since Cryomoulds are used in hundreds of research labs around the world and I have a cryomould in my lab, therefore, the cryomould in my lab is used in hundreds of research labs around the world.",cryomoulds,Type Token Fallacy,1,informal,ambiguity,test,Yes
"Since decoherency is a common occurrence in quantum systems and I observed decoherency in my experiment, therefore, my experiment is a quantum system.",decoherency,Type Token Fallacy,1,informal,ambiguity,test,No
"Since Laelia Albida is a species of orchid with hundreds of specimens around the world and I own a Laelia Albida, therefore, I own a specimen of a species of orchid that has hundreds of specimens around the world.",laelia albida,Type Token Fallacy,0,informal,ambiguity,test,Yes
"Since Slush Puppie makes over a hundred different flavors and I've tried a Slush Puppie once, therefore, I've tasted one of the flavors that Slush Puppie has to offer.",slush puppie,Type Token Fallacy,0,informal,ambiguity,test,Yes
"Since the virgin caesar cocktail recipe is owned by a famous restaurant and you've made a virgin caesar at home, therefore, you have made a cocktail based on the restaurant's recipe, but this does not necessarily imply you are infringing on the restaurant's ownership rights.",virgin caesar,Type Token Fallacy,0,informal,ambiguity,test,Yes
"Since Cryomoulds are used in hundreds of research labs around the world and I have a cryomould in my lab, therefore, I have a type of equipment that is used in hundreds of labs around the world.",cryomoulds,Type Token Fallacy,0,informal,ambiguity,test,Yes
"Since decoherency is a common occurrence in quantum systems and I observed decoherency in my experiment, therefore, my experiment may involve quantum phenomena.",decoherency,Type Token Fallacy,0,informal,ambiguity,test,Yes
"Since we need to solve the issue of our car's broken towbar urgently and removing the towbar completely is a possible solution, therefore, we must remove the towbar completely.",towbar,Appeal to Desperation,1,informal,insufficiency,test,No
"Since we must recruit more zelatrices for our religious order and forcing everyone to become a zelatrix is something, therefore, we must force everyone to become a zelatrix.",zelatrices,Appeal to Desperation,1,informal,insufficiency,test,No
"Since our garden is overrun with weeds and something must be done and planting bastard alkanet is something, therefore, we must plant bastard alkanet in our garden.",bastard alkanet,Appeal to Desperation,1,informal,insufficiency,test,No
"Since our society is overwhelmed with pervasive advertising and culture jamming is a way to disrupt this pervasive advertising, therefore, we must engage in culture jamming.",culture jammings,Appeal to Desperation,1,informal,insufficiency,test,No
"Since we need to address the issue of global warming and planting more crown cacti is a way to combat climate change, therefore, we must plant more crown cacti everywhere.",crown cactus,Appeal to Desperation,1,informal,insufficiency,test,No
"Since we need to solve the issue of our car's broken towbar urgently and removing the towbar completely is a possible solution, therefore, we should consider removing the towbar completely among other potential solutions.",towbar,Appeal to Desperation,0,informal,insufficiency,test,Yes
"Since we must recruit more zelatrices for our religious order and encouraging voluntary conversion is a possible strategy, therefore, we should encourage voluntary conversion to become a zelatrix.",zelatrices,Appeal to Desperation,0,informal,insufficiency,test,Yes
"Since our garden is overrun with weeds and something must be done and planting bastard alkanet is a proven method to control weed growth, therefore, we should consider planting bastard alkanet in our garden.",bastard alkanet,Appeal to Desperation,0,informal,insufficiency,test,Yes
"Since the mainstream media is spreading misinformation and we need to take action, therefore, we should evaluate potential countermeasures and choose an effective and ethical one, which may or may not include culture jamming.",culture jammings,Appeal to Desperation,0,informal,insufficiency,test,Yes
"Since we need to address the issue of global warming and planting more crown cacti has been shown to be an effective method to combat climate change, therefore, planting more crown cacti could be a viable part of our strategy against global warming.",crown cactus,Appeal to Desperation,0,informal,insufficiency,test,Yes
